county1,mi_to_county,county2
1119,26.90488731,28069
1119,29.97424893,28075
1119,41.06620863,28103
1125,36.9204783,1127
1127,25.42983924,1133
1129,28.85203628,28041
1129,32.69611824,28153
4001,46.59350858,4017
4001,70.87812023,35031
4001,90.00086386,35006
4001,101.6198375,35045
4001,120.1441798,35003
4001,143.8363879,8083
4001,149.0336401,4011
4001,155.4457597,49037
4001,170.9753299,4009
4003,59.16909345,35023
4003,68.68803134,4023
4003,72.91117006,4009
4003,98.3873545,4011
4003,120.0870614,4019
4005,87.05623234,4017
4005,94.38670514,4025
4005,99.89610766,49025
4005,111.0357413,4015
4005,151.1458159,4007
4005,165.6113976,49037
4007,68.16581914,4021
4007,80.09330897,4009
4007,101.6474951,4013
4007,114.109559,4017
4007,116.2154326,4025
4009,42.49219167,4011
4009,86.35610371,4021
4009,124.0689229,4019
4009,171.7810376,4017
4011,60.95090751,35017
4011,67.03570591,35003
4011,96.94314471,35023
4012,66.30612631,4027
4012,89.56192911,6025
4012,92.69530794,4013
4012,104.4029183,4025
4012,112.8243622,6065
4012,138.4777127,4015
4012,145.0714601,6071
4013,71.65570227,4021
4013,88.79460483,4025
4013,91.00766341,4027
4013,93.81026421,4019
4015,78.57628037,32003
4015,100.2896641,4025
4015,107.7237843,49053
4015,146.1062561,32017
4015,149.4604283,6071
4015,152.0514993,49025
4017,157.0245576,49037
4019,59.75869579,4021
4019,69.01419366,4023
4019,131.8396604,4027
4027,85.79501257,6025
5001,28.69178465,5095
5001,30.48178321,5079
5001,31.56255865,5107
5001,31.64672812,5069
5001,32.72578745,5041
5001,38.61069283,5117
5001,43.62065687,5085
5003,25.67348164,22067
5003,27.53743449,5043
5003,27.96077493,5017
5003,29.63302833,5011
5003,42.96512943,22111
5003,47.78456098,5139
5005,19.41728301,5089
5005,26.46659485,29153
5005,26.55381011,5065
5005,29.32599316,5049
5005,31.13894402,5137
5005,32.88570527,5129
5007,20.78247431,29119
5007,25.41819284,5143
5007,30.9516988,40041
5007,34.24574757,29009
5007,37.22813721,5087
5007,37.58756672,40001
5007,39.76835121,5015
5009,22.46329331,5089
5009,23.95848831,29213
5009,25.84835997,5015
5009,28.27603698,5101
5009,34.54167096,5129
5011,21.00542736,5013
5011,27.0339609,5043
5011,29.69089381,5025
5011,32.14779658,5139
5013,21.09173456,5103
5013,27.53406966,5139
5013,29.27416845,5039
5013,29.62581906,5025
5015,24.6663974,5087
5015,28.62927134,29209
5015,29.80450426,29009
5015,34.72052678,5101
5015,35.10877579,29213
5017,20.38076556,28151
5017,33.03815423,5043
5017,34.00021742,22123
5017,37.2802724,22035
5017,38.92201729,5041
5017,39.64777214,28055
5017,42.47283636,22067
5017,43.78050836,28011
5019,22.43396594,5059
5019,27.71672595,5099
5019,28.53633085,5109
5019,30.48639064,5039
5019,36.21888444,5103
5019,43.96408555,5097
5021,18.94266776,5055
5021,24.05159735,29023
5021,24.77020004,29069
5021,31.59977552,29181
5021,33.97657304,5121
