county1,mi_to_county,county2,county_combined
01061,38.0153250348149,12131,0106112131
01061,41.9800849044232,12063,0106112063
01063,20.8012610954668,01065,0106301065
01063,21.8918569810766,01119,0106301119
01063,32.1820485932165,01107,0106301107
01063,40.0172491376371,01125,0106301125
01063,42.4566821918007,01091,0106301091
01065,20.6950436765237,01105,0106501105
01065,36.2535652462863,01091,0106501091
01065,37.5821998736255,01125,0106501125
01067,16.2047747141361,13061,0106713061
01067,23.7383597720073,13099,0106713099
01067,25.0123053691518,01069,0106701069
01069,25.7187344993869,13099,0106913099
01069,26.0933286631496,12063,0106912063
01069,29.7404989956458,13253,0106913253
01071,27.4279863668913,13083,0107113083
01071,27.9759949970898,47051,0107147051
01071,32.5625152119117,01089,0107101089
01071,32.6581616039885,47115,0107147115
01071,36.9829346172142,01095,0107101095
01073,23.698326087011,01117,0107301117
01073,28.4927117324373,01127,0107301127
01073,35.1866208308243,01115,0107301115
01073,40.4397155531146,01125,0107301125
01075,23.9013532925614,28095,0107528095
01075,26.9776488502217,01093,0107501093
01075,29.7731387130812,28087,0107528087
01075,33.8792153238484,01107,0107501107
01077,25.2630429855754,47181,0107747181
01077,26.169700687907,47099,0107747099
01077,31.9122326213595,01079,0107701079
01077,35.1216915945166,28141,0107728141
01077,36.5777902984517,47071,0107747071
01077,38.5139553064442,01083,0107701083
01077,40.4759673956952,47055,0107747055
01079,25.9454999012804,01133,0107901133
01079,27.3827844684485,01083,0107901083
01079,27.5713730705377,01103,0107901103
01081,23.7740187153545,01113,0108101113
01081,24.8412205628477,01087,0108101087
01081,27.0993133149874,13145,0108113145
01081,28.5879413772638,13215,0108113215
01081,31.5349965269664,01123,0108101123
01083,24.6243017568484,01089,0108301089
01083,25.7505299835529,01103,0108301103
01083,27.2891758532205,47055,0108347055
01083,31.7753330263995,47103,0108347103
01085,26.4095993598178,01101,0108501101
01085,39.6751035145396,01131,0108501131
01087,30.2876041906272,01113,0108701113
01087,32.4199221466373,01101,0108701101
01087,33.4922899057711,01123,0108701123
01089,26.2472039592609,47103,0108947103
01089,27.2043675951142,01103,0108901103
01089,34.0204294414294,01095,0108901095
01089,37.2442656403259,47051,0108947051
01091,33.6810187001012,01131,0109101131
01091,33.9610126434769,01119,0109101119
01091,39.6496636861266,01105,0109101105
01093,29.2335297573418,28057,0109328057
01093,29.6111324449285,01133,0109301133
01093,38.5827130529504,28095,0109328095
01093,40.9886492013087,01127,0109301127
01095,31.5523321032455,01103,0109501103
01097,28.9737779425264,28039,0109728039
01097,29.6393181065963,28059,0109728059
01097,44.7952867507627,28041,0109728041
01097,49.9141310983228,01129,0109701129
01099,28.7253281077457,01131,0109901131
01101,31.9078932788872,01109,0110101109
01107,23.1688260541814,28087,0110728087
01107,30.1369208031545,28103,0110728103
01107,33.1543783867809,01125,0110701125
01107,48.687785256311,01119,0110701119
01111,18.7431754941929,13149,0111113149
01111,29.6452118636221,13045,0111113045
01111,31.0279531952178,13285,0111113285
01111,35.6752231803127,01123,0111101123
01113,23.6330958264423,13053,0111313053
01113,23.7323427339199,13215,0111313215
01113,25.4522659438761,13259,0111313259
01115,25.075090701027,01121,0111501121
01115,37.4568305879,01117,0111501117
01117,29.9180075759286,01121,0111701121
01119,26.9048873094508,28069,0111928069
01119,29.974248927024,28075,0111928075
01119,41.0662086292252,28103,0111928103
01125,36.9204783021249,01127,0112501127
01127,25.4298392446181,01133,0112701133
01129,28.852036275806,28041,0112928041
01129,32.6961182386297,28153,0112928153
04001,46.5935085782641,04017,0400104017
04001,70.8781202323511,35031,0400135031
04001,90.0008638553456,35006,0400135006
04001,101.619837451798,35045,0400135045
04001,120.144179795306,35003,0400135003
04001,143.836387889183,08083,0400108083
04001,149.033640116691,04011,0400104011
04001,155.445759733006,49037,0400149037
04001,170.975329880542,04009,0400104009
04003,59.1690934498311,35023,0400335023
04003,68.6880313367222,04023,0400304023
04003,72.9111700551792,04009,0400304009
04003,98.3873544953336,04011,0400304011
04003,120.08706143816,04019,0400304019
04005,87.0562323391033,04017,0400504017
04005,94.3867051397449,04025,0400504025
04005,99.8961076596214,49025,0400549025
04005,111.035741261006,04015,0400504015
04005,151.145815894913,04007,0400504007
04005,165.611397614614,49037,0400549037
04007,68.1658191377952,04021,0400704021
04007,80.0933089712092,04009,0400704009
04007,101.647495143609,04013,0400704013
04007,114.109559010031,04017,0400704017
04007,116.215432618971,04025,0400704025
04009,42.4921916681052,04011,0400904011
04009,86.3561037115888,04021,0400904021
04009,124.068922857885,04019,0400904019
04009,171.781037645855,04017,0400904017
04011,60.9509075116802,35017,0401135017
04011,67.0357059095499,35003,0401135003
04011,96.9431447055451,35023,0401135023
04012,66.3061263104174,04027,0401204027
04012,89.5619291111842,06025,0401206025
04012,92.6953079426652,04013,0401204013
04012,104.402918283278,04025,0401204025
04012,112.824362204095,06065,0401206065
04012,138.477712702834,04015,0401204015
04012,145.071460148456,06071,0401206071
04013,71.6557022733733,04021,0401304021
04013,88.7946048315263,04025,0401304025
04013,91.007663413138,04027,0401304027
04013,93.8102642103897,04019,0401304019
04015,78.576280371143,32003,0401532003
04015,100.289664056672,04025,0401504025
04015,107.723784336334,49053,0401549053
04015,146.106256087423,32017,0401532017
04015,149.460428342133,06071,0401506071
04015,152.05149933602,49025,0401549025
04017,157.024557590475,49037,0401749037
04019,59.758695789798,04021,0401904021
04019,69.0141936643857,04023,0401904023
04019,131.839660360523,04027,0401904027
04027,85.7950125690374,06025,0402706025
05001,28.691784647738,05095,0500105095
05001,30.4817832061553,05079,0500105079
05001,31.5625586523411,05107,0500105107
05001,31.6467281231556,05069,0500105069
05001,32.7257874478227,05041,0500105041
05001,38.6106928300062,05117,0500105117
05001,43.6206568727594,05085,0500105085
05003,25.6734816431949,22067,0500322067
05003,27.5374344932016,05043,0500305043
05003,27.9607749311771,05017,0500305017
05003,29.6330283260238,05011,0500305011
05003,42.9651294320313,22111,0500322111
05003,47.7845609804194,05139,0500305139
05005,19.4172830092989,05089,0500505089
05005,26.4665948482748,29153,0500529153
05005,26.5538101053246,05065,0500505065
05005,29.3259931553629,05049,0500505049
05005,31.1389440164147,05137,0500505137
05005,32.8857052747912,05129,0500505129
05007,20.7824743053969,29119,0500729119
05007,25.4181928412348,05143,0500705143
05007,30.9516988016296,40041,0500740041
05007,34.2457475683468,29009,0500729009
05007,37.2281372087209,05087,0500705087
05007,37.5875667227147,40001,0500740001
05007,39.7683512052339,05015,0500705015
05009,22.4632933108931,05089,0500905089
05009,23.9584883078735,29213,0500929213
05009,25.8483599667009,05015,0500905015
05009,28.2760369772353,05101,0500905101
05009,34.5416709594044,05129,0500905129
05011,21.005427362185,05013,0501105013
05011,27.0339608995727,05043,0501105043
05011,29.6908938074964,05025,0501105025
05011,32.1477965825682,05139,0501105139
05013,21.0917345626261,05103,0501305103
05013,27.5340696572019,05139,0501305139
05013,29.274168445695,05039,0501305039
05013,29.6258190556524,05025,0501305025
05015,24.6663973963662,05087,0501505087
05015,28.6292713387773,29209,0501529209
05015,29.8045042578488,29009,0501529009
05015,34.7205267786536,05101,0501505101
05015,35.1087757899475,29213,0501529213
05017,20.3807655642152,28151,0501728151
05017,33.0381542285298,05043,0501705043
05017,34.0002174216179,22123,0501722123
05017,37.2802723986267,22035,0501722035
05017,38.9220172938572,05041,0501705041
05017,39.6477721351167,28055,0501728055
05017,42.4728363581319,22067,0501722067
05017,43.780508362743,28011,0501728011
05019,22.4339659379609,05059,0501905059
05019,27.7167259512422,05099,0501905099
05019,28.5363308525525,05109,0501905109
05019,30.4863906375711,05039,0501905039
05019,36.2188844415159,05103,0501905103
05019,43.9640855523855,05097,0501905097
05021,18.9426677557219,05055,0502105055
05021,24.0515973464022,29023,0502129023
05021,24.7702000370024,29069,0502129069
05021,31.5997755244944,29181,0502129181
05021,33.9765730430984,05121,0502105121
05023,20.5871745048671,05137,0502305137
05023,25.6521376055289,05141,0502305141
05023,27.6030925506624,05145,0502305145
05023,30.4640030941063,05063,0502305063
05023,32.6234562046718,05045,0502305045
05025,26.8074540225771,05079,0502505079
05025,27.1674577520344,05039,0502505039
05025,30.393054795932,05069,0502505069
05025,30.4229293113071,05053,0502505053
05025,34.110814655383,05043,0502505043
05027,22.306846979838,05073,0502705073
05027,30.0557045724624,22027,0502722027
05027,31.5283173336497,05099,0502705099
05027,32.8521037088531,05103,0502705103
05027,34.002365221962,22119,0502722119
05027,36.4986985881882,05139,0502705139
05029,22.1734795847441,05045,0502905045
05029,23.3149988740522,05115,0502905115
05029,23.9931625600847,05141,0502905141
05029,25.8310591691978,05105,0502905105
05029,44.6514135881348,05149,0502905149
05031,18.1349645826894,05111,0503105111
05031,20.4781876725542,05055,0503105055
05031,30.162507793606,05075,0503105075
05031,32.6787529235641,05093,0503105093
05031,36.9062328142697,05067,0503105067
05031,38.8886863688974,29069,0503129069
05033,20.2591002868405,05047,0503305047
05033,26.7633809207816,05131,0503305131
05033,26.8383933273442,05143,0503305143
05033,29.4582555823273,40135,0503340135
05033,31.8573633634155,40001,0503340001
05033,41.2852818174119,05087,0503305087
05035,23.7890684731294,47157,0503547157
05035,26.4485627558405,05037,0503505037
05035,27.7160359209213,05123,0503505123
05035,29.5991138840961,28033,0503528033
05035,32.1257652072962,05111,0503505111
05035,36.9234430675778,47167,0503547167
05035,38.8018870607571,28143,0503528143
05035,39.76240001283,05077,0503505077
05035,41.1087490102286,05093,0503505093
05037,19.2100601505379,05123,0503705123
05037,19.8946794165034,05111,0503705111
05037,27.4749273411017,05147,0503705147
05037,32.9343446416216,05067,0503705067
05039,25.741945408356,05053,0503905053
05039,29.0414726566817,05103,0503905103
05039,29.1768913001547,05059,0503905059
05041,20.7634547380419,28011,0504128011
05041,29.1089559273242,05079,0504105079
05041,32.1615616853377,05043,0504105043
05041,47.0646213958443,05107,0504105107
05043,25.5952763002875,05079,0504305079
05045,25.7323122940008,05119,0504505119
05045,32.0345723447352,05141,0504505141
05045,33.1233032975101,05145,0504505145
05045,36.4030980753095,05085,0504505085
05045,36.7610916568002,05105,0504505105
05047,22.1405991811764,05083,0504705083
05047,24.1079872254929,05071,0504705071
05047,30.6575372835499,05131,0504705131
05047,36.0092146806859,05087,0504705087
05049,20.6200022352027,05065,0504905065
05049,24.2219573626336,05135,0504905135
05049,27.273545626344,29091,0504929091
05049,31.1122814515626,29149,0504929149
05049,39.9835092997066,29153,0504929153
05051,21.5732008590519,05059,0505105059
05051,27.293172320609,05125,0505105125
05051,28.2973515458852,05105,0505105105
05051,29.5192957263887,05097,0505105097
05051,32.5193591216301,05149,0505105149
05053,28.1703718321944,05069,0505305069
05053,28.7029427712878,05125,0505305125
05053,29.7482444422612,05059,0505305059
05053,34.1268512035328,05119,0505305119
05055,28.1600747188458,29069,0505529069
05055,30.0068667475783,05121,0505505121
05055,30.4171238805609,05075,0505505075
05057,21.1732678123123,05099,0505705099
05057,29.6839259583455,05109,0505705109
05057,30.7876481370851,05061,0505705061
05057,32.2328862982685,05091,0505705091
05057,32.4751024737042,05081,0505705081
05057,33.8583643986045,05073,0505705073
05059,27.6838242231935,05125,0505905125
05059,44.0136965464288,05097,0505905097
05061,15.6882255758996,05133,0506105133
05061,19.7029418000516,05109,0506105109
05061,29.8384332782495,05081,0506105081
05061,31.3241182916898,05113,0506105113
05061,36.9992782477745,05097,0506105097
05063,21.2628387804836,05067,0506305067
05063,30.5251730520309,05135,0506305135
05063,31.6449795457954,05065,0506305065
05063,33.1593152581102,05075,0506305075
05063,33.5658274772498,05137,0506305137
05063,35.0827489975188,05145,0506305145
05065,20.7624558144006,05137,0506505137
05065,25.2845807267769,05135,0506505135
05067,28.1833016608859,05147,0506705147
05067,30.5484042255026,05111,0506705111
05067,31.4632169106192,05075,0506705075
05067,38.0571208540733,05145,0506705145
05069,24.9775510103701,05079,0506905079
05069,33.0520425849238,05085,0506905085
05069,40.7205153727799,05119,0506905119
05071,25.777104440489,05115,0507105115
05071,27.1978859284608,05101,0507105101
05071,28.390650710308,05083,0507105083
05071,33.6072195801432,05087,0507105087
05073,17.3336159256499,05091,0507305091
05073,34.3341229878498,05099,0507305099
05073,37.6201637504257,22015,0507322015
05073,38.5044796493663,22119,0507322119
05075,21.1343988831874,05121,0507505121
05075,22.5821064915979,05135,0507505135
05077,16.3510424453388,05123,0507705123
05077,24.7655269682736,28143,0507728143
05077,24.7664000370109,05107,0507705107
05077,25.0542359205398,05095,0507705095
05081,20.4049659663999,05133,0508105133
05081,20.7263712813546,48037,0508148037
05081,33.1472205383318,05091,0508105091
05081,42.1686301218155,40089,0508140089
05083,23.3309322632863,05149,0508305149
05083,31.3349149509251,05131,0508305131
05083,31.5321664715082,05127,0508305127
05083,42.1404580782974,05115,0508305115
05085,19.7742088899697,05117,0508505117
05085,24.0100088263368,05119,0508505119
05085,35.429592965248,05145,0508505145
05087,27.7837821251635,05143,0508705143
05087,29.3316001859751,05101,0508705101
05089,24.6933093855475,05129,0508905129
05089,29.1496868122487,29153,0508929153
05089,33.3253926487458,29213,0508929213
05091,30.499164858578,48067,0509148067
05091,31.5830546993864,48037,0509148037
05091,45.1910093518926,22015,0509122015
05091,50.3335064040157,22017,0509122017
05093,23.7993670237393,47097,0509347097
05093,24.5336102751437,47167,0509347167
05093,26.6816036656158,29069,0509329069
05093,34.0344705942574,29155,0509329155
05093,37.8316799837546,05111,0509305111
05093,41.2464270247929,47157,0509347157
05093,41.6287828739883,47045,0509347045
05095,22.5644239995625,05117,0509505117
05095,26.7418583583763,05107,0509505107
05095,34.9165229148456,05123,0509505123
05095,35.2839757995673,05147,0509505147
05097,26.7728055696302,05109,0509705109
05097,31.3574609882631,05127,0509705127
05097,32.4847179652999,05113,0509705113
05097,34.4446237417009,05149,0509705149
05099,25.094164099952,05103,0509905103
05099,39.5506680292589,05109,0509905109
05101,28.8612036782523,05129,0510105129
05101,33.066731509437,05115,0510105115
05103,33.3980304566018,05139,0510305139
05105,25.07152873969,05125,0510505125
05105,27.486942921601,05149,0510505149
05105,36.5963185002168,05119,0510505119
05107,19.5287810171303,28027,0510728027
05107,31.3121872922343,28143,0510728143
05107,43.3406104509329,28011,0510728011
05109,39.9327976898928,05113,0510905113
05113,27.1412225598087,05127,0511305127
05113,34.2987926079518,05133,0511305133
05113,38.9655083733491,40079,0511340079
05113,40.0035320746911,40089,0511340089
05115,30.3052233978468,05141,0511505141
05115,36.5116288095571,05129,0511505129
05115,38.1020410299983,05149,0511505149
05117,30.5765782309295,05147,0511705147
05117,31.4841254086161,05145,0511705145
05119,22.101317272101,05125,0511905125
